Heading,Link
করোনা রোগী শনাক্ত হওয়ার পর যথাযথ ব্যবস্থা নেয়নি স্বাস্থ্য বিভাগ: জিএম কাদের,https://jamuna.tv/news/159116
করোনা ও উপসর্গ নিয়ে চিকিৎসকসহ দুই জনের মৃত্যু,https://jamuna.tv/news/159071
করোনায় মৃত ৪১ জন সম্পর্কে যা জানানো হয়েছে,https://jamuna.tv/news/159107
বিশ্বে করোনায় আক্রান্ত-মৃত্যুর সর্বশেষ তথ্য,https://jamuna.tv/news/159057
ভারতে একদিনে করোনায় শনাক্ত ২৫ হাজারের বেশি,https://jamuna.tv/news/159050
করোনা রোগী শনাক্ত হওয়ার পর যথাযথ ব্যবস্থা নেয়নি স্বাস্থ্য বিভাগ: জিএম কাদের,https://jamuna.tv/news/159116
করোনা রোগী শনাক্ত হওয়ার পর যথাযথ ব্যবস্থা নেয়নি স্বাস্থ্য বিভাগ: জিএম কাদের,https://jamuna.tv/news/159116
করোনায় মৃত ৪১ জন সম্পর্কে যা জানানো হয়েছে,https://jamuna.tv/news/159107
করোনা ও উপসর্গ নিয়ে চিকিৎসকসহ দুই জনের মৃত্যু,https://jamuna.tv/news/159071
কুমিল্লা মেডিকেলে করোনা উপসর্গ নিয়ে ৭ জনের মৃত্যু,https://jamuna.tv/news/159053
বিশ্বে করোনায় আক্রান্ত-মৃত্যুর সর্বশেষ তথ্য,https://jamuna.tv/news/159057
"করোনায় মৃত্যু, অদল বদলে মুসলিম নারীর লাশ শ্মশানে দাহ!",https://jamuna.tv/news/159054
ভারতে একদিনে করোনায় শনাক্ত ২৫ হাজারের বেশি,https://jamuna.tv/news/159050
১৪ দিনের লকডাউনে চবি ক্যাম্পাস,https://jamuna.tv/news/157880
কন্ঠশিল্পী সেলিম চৌধুরী করোনায় আক্রান্ত হয়ে হাসপাতালে ভর্তি,https://jamuna.tv/news/158691
ঘুরতে গিয়ে করোনা আক্রান্ত হলে পাবেন ৩ হাজার মার্কিন ডলার!,https://jamuna.tv/news/156680
জেনে নিন করোনা ও ইনফ্লুয়েঞ্জার উপসর্গ,https://jamuna.tv/news/157896
করোনা সংকটেও রেকর্ড রেমিটেন্স ও রিজার্ভ,https://jamuna.tv/news/157658
